winner,turns,win_rate
Human,60,0.49714285714285716
AI,18,0.5
Human,18,0.4971751412429379
AI,48,0.5
AI,93,0.5027932960893855
AI,66,0.5055555555555555
AI,11,0.5082872928176796
AI,70,0.510989010989011
AI,73,0.5136612021857924
Human,13,0.5108695652173914
AI,29,0.5135135135135135
Human,27,0.510752688172043
Human,20,0.5080213903743316
AI,44,0.5106382978723404
Human,50,0.5079365079365079
Human,9,0.5052631578947369
AI,37,0.5078534031413613
Human,13,0.5052083333333334
AI,29,0.5077720207253886
Human,99,0.5051546391752577
Human,30,0.5025641025641026
AI,21,0.5051020408163265
Human,34,0.5025380710659898
AI,14,0.5050505050505051
AI,23,0.507537688442211
AI,68,0.51
Human,14,0.5074626865671642
Human,35,0.504950495049505
AI,23,0.5073891625615764
Human,45,0.5049019607843137
AI,29,0.5073170731707317
Human,25,0.5048543689320388
Human,30,0.5024154589371981
AI,70,0.5048076923076923
AI,57,0.507177033492823
Human,53,0.5047619047619047
AI,112,0.5071090047393365
AI,42,0.5094339622641509
AI,19,0.5117370892018779
Human,11,0.5093457943925234
AI,109,0.5116279069767442
AI,12,0.5138888888888888
AI,17,0.5161290322580645
AI,30,0.518348623853211
AI,17,0.5205479452054794
AI,50,0.5227272727272727
AI,105,0.5248868778280543
AI,28,0.527027027027027
AI,43,0.5291479820627802
AI,20,0.53125
AI,103,0.5333333333333333
Human,23,0.5309734513274337
AI,19,0.5330396475770925
Human,45,0.5307017543859649
AI,43,0.5327510917030568
AI,62,0.5347826086956522
Human,40,0.5324675324675324
Human,31,0.5301724137931034
AI,39,0.5321888412017167
Human,39,0.5299145299145299
Human,104,0.5276595744680851
Human,27,0.5254237288135594
Human,18,0.5232067510548524
Human,35,0.5210084033613446
AI,29,0.5230125523012552
Human,77,0.5208333333333334
AI,27,0.5228215767634855
AI,34,0.5247933884297521
AI,75,0.5267489711934157
AI,54,0.5286885245901639
Human,14,0.5265306122448979
AI,32,0.5284552845528455
AI,13,0.5303643724696356
AI,26,0.532258064516129
Human,16,0.5301204819277109
AI,20,0.532
AI,21,0.5338645418326693
Human,63,0.5317460317460317
Human,16,0.5296442687747036
AI,32,0.531496062992126
AI,13,0.5333333333333333
Human,33,0.53125
