winner,turns,win_rate
Human,66,0.4729241877256318
AI,30,0.4748201438848921
AI,27,0.4767025089605735
AI,52,0.4785714285714286
AI,51,0.4804270462633452
Human,27,0.4787234042553192
Human,26,0.47703180212014135
Human,37,0.4753521126760563
Human,28,0.47368421052631576
Human,55,0.47202797202797203
AI,33,0.4738675958188153
AI,16,0.4756944444444444
AI,47,0.47750865051903113
AI,14,0.4793103448275862
AI,13,0.48109965635738833
AI,28,0.4828767123287671
AI,41,0.48464163822525597
Human,37,0.48299319727891155
Human,80,0.48135593220338985
Human,37,0.4797297297297297
AI,17,0.48148148148148145
AI,30,0.48322147651006714
AI,31,0.48494983277591974
Human,17,0.48333333333333334
AI,51,0.4850498338870432
AI,28,0.4867549668874172
Human,86,0.48514851485148514
AI,40,0.4868421052631579
Human,36,0.4852459016393443
Human,9,0.48366013071895425
Human,15,0.4820846905537459
AI,20,0.4837662337662338
AI,19,0.4854368932038835
AI,54,0.4870967741935484
AI,61,0.4887459807073955
Human,13,0.48717948717948717
Human,24,0.48562300319488816
Human,37,0.4840764331210191
AI,21,0.4857142857142857
Human,13,0.48417721518987344
Human,32,0.48264984227129337
AI,28,0.48427672955974843
Human,18,0.4827586206896552
Human,13,0.48125
AI,35,0.48286604361370716
AI,30,0.484472049689441
Human,46,0.48297213622291024
AI,16,0.4845679012345679
AI,13,0.48615384615384616
AI,40,0.48773006134969327
Human,54,0.48623853211009177
Human,25,0.4847560975609756
Human,20,0.48328267477203646
Human,67,0.4818181818181818
Human,61,0.48036253776435045
AI,54,0.4819277108433735
Human,52,0.4804804804804805
AI,23,0.4820359281437126
AI,41,0.4835820895522388
Human,19,0.48214285714285715
Human,26,0.4807121661721068
AI,14,0.4822485207100592
AI,21,0.4837758112094395
Human,87,0.4823529411764706
AI,27,0.4838709677419355
Human,15,0.4824561403508772
Human,20,0.48104956268221577
AI,24,0.48255813953488375
Human,38,0.4811594202898551
Human,29,0.4797687861271676
Human,28,0.4783861671469741
Human,47,0.47701149425287354
AI,25,0.4785100286532951
AI,44,0.48
Human,40,0.47863247863247865
AI,38,0.48011363636363635
AI,45,0.48158640226628896
AI,15,0.4830508474576271
Human,22,0.48169014084507045
AI,30,0.48314606741573035
Human,66,0.48179271708683474
AI,62,0.48324022346368717
AI,63,0.48467966573816157
AI,26,0.4861111111111111
Human,32,0.48476454293628807
AI,24,0.4861878453038674
Human,34,0.48484848484848486
Human,23,0.4835164835164835
Human,60,0.4821917808219178
Human,23,0.4808743169398907
AI,35,0.4822888283378747
Human,29,0.48097826086956524
AI,39,0.4823848238482385
AI,14,0.4837837837837838
Human,30,0.48247978436657685
AI,98,0.4838709677419355
AI,77,0.48525469168900803
Human,15,0.4839572192513369
AI,77,0.48533333333333334
AI,20,0.4867021276595745
AI,29,0.4880636604774536
Human,103,0.48677248677248675
Human,14,0.48548812664907653
Human,61,0.4842105263157895
AI,39,0.48556430446194226
Human,35,0.48429319371727747
AI,39,0.4856396866840731
Human,37,0.484375
AI,45,0.4857142857142857
Human,25,0.4844559585492228
AI,21,0.48578811369509045
Human,11,0.4845360824742268
AI,57,0.48586118251928023
AI,20,0.48717948717948717
AI,33,0.4884910485933504
Human,17,0.4872448979591837
AI,11,0.48854961832061067
AI,36,0.48984771573604063
Human,26,0.48860759493670886
Human,73,0.48737373737373735
Human,22,0.48614609571788414
AI,24,0.48743718592964824
AI,59,0.48872180451127817
AI,88,0.49
Human,52,0.48877805486284287
AI,48,0.4900497512437811
Human,58,0.48883374689826303
Human,29,0.4876237623762376
Human,42,0.48641975308641977
Human,23,0.4852216748768473
Human,60,0.48402948402948404
Human,47,0.48284313725490197
Human,28,0.48166259168704156
